sentence_id,text,start,end
0,"On board a steamer I once met an elderly man, with such a merry face that, if it was really an index of his mind, he must have been the happiest fellow in creation. ",0,165
1,"indeed he considered himself so, for I heard it from his own mouth. ",165,233
2,"He was a Dane, the owner of a travelling theatre. ",233,283
3,"He had all his company with him in a large box, for he was the proprietor of a puppet-show. ",283,375
4,"His inborn cheerfulness, he said, had been tested by a member of the Polytechnic Institution, and the experiment had made him completely happy. ",375,519
5,"I did not at first understand all this, but afterwards he explained the whole story to me. ",519,610
6,"Here it is:-- ""I was giving a representation,"" he said, ""in the hall of the posting-house in the little town of Slagelse. ",610,732
7,"There was a splendid audience, entirely juvenile excepting two respectable matrons. ",732,816
8,"All at once, a person in black, of student-like appearance, entered the room, and sat down. ",816,908
9,"He laughed aloud at the telling points, and applauded quite at the proper time. ",908,988
10,"This was a very unusual spectator for me, and I felt anxious to know who he was. ",988,1069
11,"I heard that he was a member of the Polytechnic Institution in Copenhagen, who had been sent out to lecture to the people in the provinces. ",1069,1209
12,"Punctually at eight o'clock my performance closed, for children must go early to bed, and a manager must also consult the convenience of the public. ",1209,1358
13,"""At nine o'clock the lecturer commenced his lecture and his experiments, and then I formed a part of his audience. ",1358,1473
14,It was wonderful both to hear and to see. ,1473,1515
15,"The greater part of it was beyond my comprehension, but it led me to think that if we men can acquire so much, we must surely be intended to last longer than the little span which extends only to the time when we are hidden away under the earth. ",1515,1761
16,"His experiments were quite miracles on a small scale, and yet the explanations flowed as naturally as water from his lips. ",1761,1884
17,"At the time of Moses and the prophets, such a man would have been placed among the sages of the land; ",1884,1986
18, in the middle ages they would have burnt him at the stake. ,1985,2045
19,"""All night long I could not sleep. ",2045,2080
20,"The next evening when I gave another performance and the lecturer was present, I was in one of my best moods. ",2080,2190
21,"""I once heard of an actor, who, when he had to act the part of a lover, always thought of one particular lady in the audience. ",2190,2317
22,"He only played for her, and forgot all the rest of the house, and now the Polytechnic lecturer was my she, my only auditor, for whom alone I played. ",2317,2466
23,"""When the performance was over, and the puppets removed behind the curtain, the Polytechnic lecturer invited me into his room to take a glass of wine. ",2466,2617
