sentence_id,text,start,end
0,"A long, long time ago, a little boy was living with his sister entirely alone in an uninhabited country, far out in the north-west. ",0,132
1,"He was called the Boy that carries the Ball on his Back, from an idea that he possessed supernatural powers. ",132,241
2,"This boy was in the habit of meditating alone, and asking within himself, whether there were other beings similar to themselves on the earth. ",241,383
3,"When he grew up to manhood, he inquired of his sister whether she knew of any human beings beside themselves. ",383,493
4,She replied that she did; ,493,519
5," and that there was, at a great distance, a large village. ",518,577
6,"As soon as he heard this, he said to his sister, ""I am now a young man and very much in want of a companion;""",577,686
7,""" and he asked his sister to make him several pairs of moccasins. ",685,751
8,She complied with his request; ,751,782
9," and as soon as he received the moccasins, he took up his war-club and set out in quest of the distant village. ",781,893
10,"He traveled on till he came to a small wigwam, and on looking into it he discovered a very old woman sitting alone by the fire. ",893,1021
11,"As soon as she saw the stranger, she invited him in, and thus addressed him: ""My poor grandchild, I suppose you are one of those who seek for the distant village, from which no person has ever yet returned. ",1021,1228
12,"Unless your guardian is more powerful than the guardians of those who have gone before you, you will share a similar fate to theirs. ",1228,1361
13,"Be careful to provide yourself with the invisible bones they use in the medicine-dance, for without these you can not succeed."" ",1361,1489
14,"After she had thus spoken, she gave him the following directions for his journey: ""When you come near to the village which you seek, you will see in the center a large lodge, in which the chief of the village, who has two daughters, resides. ",1489,1731
15,"Before the door there is a great tree, which is smooth and without bark. ",1731,1804
16,"On this tree, about the height of a man from the ground, is hung a small lodge, in which these two false daughters dwell. ",1804,1926
17,"It is here that so many have been destroyed, and among them your two elder brothers. ",1926,2011
18,"Be wise, my grandchild, and abide strictly by my directions."" ",2011,2073
19,The old woman then gave to the young man the bones which were to secure his success; ,2073,2158
20, and she informed him with great care how he was to proceed. ,2157,2218
21,"Placing them in his bosom, Onwee Bahmondang, or the Wearer of the Ball, continued his journey, and kept eagerly on until he arrived at the village of which he was in search; ",2218,2392
22," and as he was gazing around him, he saw both the tree and the lodge which the old woman had mentioned. ",2391,2495
23,"He at once bent his steps for the tree, and approaching, he endeavored to reach the suspended lodge. ",2495,2596
24,But all his efforts were in vain; ,2596,2630
25," for as often as he attempted to reach it, the tree began to tremble, and it soon shot up so that the lodge could hardly be perceived. ",2629,2764
26,"He bethought him of his guardian, and invoking his aid, and changing himself into a squirrel, he mounted nimbly up again, in the hope that the lodge would not now escape him. ",2764,2939
27,"Away shot the lodge, climb as briskly as he might. ",2939,2990
28,"Panting, and out of breath, he remembered the instructions of the old woman, and drawing from his bosom one of the bones, he thrust it into the trunk of the tree, and rested himself to be ready to start again. ",2990,3200
