clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the King/The King,51,20,32,52,the King,male,1.0,primary
the fawn,40,7,42,49,the fawn,male,1.0,primary
the sister/The sister,7,16,25,41,the sister,female,1.0,primary
the brother/THE brother,1,8,29,37,the brother,male,1.0,primary
the Queen,100,8,29,37,the Queen,female,1.0,primary
the maiden/The maiden,35,4,16,20,the maiden,female,1.0,secondary
the brother/THE brother--his sister,2,3,10,13,the brother's sister,female,1.0,tertiary
the wicked stepmother,90,1,9,10,the wicked stepmother,female,1.0,tertiary
"the nurse , who was sitting by the cradle in the nursery and watching there alone",128,1,8,9,"the nurse , who was sitting by the cradle in the nursery and watching there alone",female,1.0,tertiary
the wicked stepmother--her daughter/Her daughter,108,3,3,6,the wicked stepmother's daughter,female,1.0,tertiary
the old woman,99,3,3,6,the old woman,female,1.0,tertiary
the child,130,4,1,5,the child,unknown,0.0,tertiary
the beautiful young Queen,113,1,4,5,the beautiful young Queen,female,1.0,tertiary
the King/The King--his hunters,58,2,3,5,the King's hunters,group/nonbinary,1.0,tertiary
Little sister,176,5,0,5,Little sister,female,1.0,tertiary
the huntsmen,47,3,2,5,the huntsmen,group/nonbinary,1.0,tertiary
a man standing there with a gold crown on his head--a man standing there with a gold crown on his head,79,1,4,5,a man standing there with a gold crown on his head's man standing there with a gold crown on his head,male,1.0,tertiary
dear brother,169,2,2,4,dear brother,male,1.0,tertiary
our stepmother,162,1,3,4,our stepmother,female,1.0,tertiary
the children,91,1,3,4,the children,group/nonbinary,1.0,tertiary
the King/The King--his huntsmen,52,1,3,4,the King's huntsmen,group/nonbinary,1.0,tertiary
the Queen--My child,191,3,0,3,the Queen's child,unknown,0.0,tertiary
the beautiful maiden,86,1,2,3,the beautiful maiden,female,1.0,tertiary
The nurse/the nurse,132,3,0,3,The nurse,unknown,0.0,tertiary
the watchmen,133,1,2,3,the watchmen,group/nonbinary,1.0,tertiary
dear fawn,173,2,1,3,dear fawn,unknown,0.0,tertiary
the hunters,60,2,1,3,the hunters,group/nonbinary,1.0,tertiary
the wicked witch,151,1,1,2,the wicked witch,female,1.0,tertiary
the sick Queen,110,1,1,2,the sick Queen,female,1.0,tertiary
the King/The King--my dear wife,188,2,0,2,the King's dear wife,female,1.0,tertiary
a fawn,32,2,0,2,a fawn,unknown,0.0,tertiary
our mother,161,2,0,2,our mother,female,1.0,tertiary
The daughter,155,1,1,2,The daughter,female,1.0,tertiary
the witch,156,1,1,2,the witch,female,1.0,tertiary
The hunter,63,1,1,2,The hunter,male,1.0,tertiary
a false Queen,126,1,0,1,a false Queen,female,1.0,tertiary
a little son,122,1,0,1,a little son,unknown,0.0,tertiary
the King/The King--his dear wife,123,1,0,1,the King's dear wife,female,1.0,tertiary
the King of that country,44,1,0,1,the King of that country,male,1.0,tertiary
every one,127,1,0,1,every one,unknown,0.0,tertiary
the true Queen,129,1,0,1,the true Queen,female,1.0,tertiary
the King/The King--your dear wife,196,1,0,1,the King's dear wife,female,1.0,tertiary
Sister,166,1,0,1,Sister,female,1.0,tertiary
a witch,13,1,0,1,a witch,unknown,0.0,tertiary
their wicked stepmother,12,1,0,1,their wicked stepmother,unknown,0.0,tertiary
the King/The King--a maiden more beautiful than any he had seen before,77,1,0,1,the King's maiden more beautiful than any he had seen before,female,1.0,tertiary
the wild hunters,175,1,0,1,the wild hunters,unknown,0.0,tertiary
the sister/The sister--her poor lost brother,34,1,0,1,the sister's poor lost brother,male,1.0,tertiary
the sister/The sister--my brother,172,1,0,1,the sister's brother,male,1.0,tertiary
the fawn with the golden collar,59,1,0,1,the fawn with the golden collar,unknown,0.0,tertiary
a hunter,61,1,0,1,a hunter,unknown,0.0,tertiary
everybody,184,1,0,1,everybody,unknown,0.0,tertiary
lady Queen,0,1,0,1,lady Queen,female,1.0,tertiary
the bedchamber woman,105,1,0,1,the bedchamber woman,female,1.0,tertiary
witches,15,1,0,1,witches,unknown,0.0,tertiary
the wicked stepmother--Her own daughter,98,1,0,1,the wicked stepmother's own daughter,unknown,0.0,tertiary
a Queen,190,1,0,1,a Queen,female,1.0,tertiary
the two children,14,1,0,1,the two children,unknown,0.0,tertiary
a beautiful baby - boy,101,1,0,1,a beautiful baby - boy,male,1.0,tertiary
The old witch,104,1,0,1,The old witch,unknown,0.0,tertiary
brother,159,1,0,1,brother,male,1.0,tertiary
