sentence_id,text,start,end
0,"The Queen of Heaven, who is also known as the Holy Mother, was in mortal life a maiden of Fukien, named Lin. ",0,109
1,"She was pure, reverential and pious in her ways and died at the age of seventeen. ",109,191
2,She shows her power on the seas and for this reason the seamen worship her. ,191,267
3,"When they are unexpectedly attacked by wind and waves, they call on her and she is always ready to hear their pleas. ",267,384
4,"There are many seamen in Fukien, and every year people are lost at sea. ",384,456
5,"And because of this, most likely, the Queen of Heaven took pity on the distress of her people during her lifetime on earth. ",456,580
6,"And since her thoughts are uninterruptedly turned toward aiding the drowning in their distress, she now appears frequently on the seas. ",580,716
7,"In every ship that sails a picture of the Queen of Heaven hangs in the cabin, and three paper talismans are also kept on shipboard. ",716,848
8,"On the first she is painted with crown and scepter, on the second as a maiden in ordinary dress, and on the third she is pictured with flowing hair, barefoot, standing with a sword in her hand. ",848,1042
9,"When the ship is in danger the first talisman is burnt, and help comes. ",1042,1114
10,"But if this is of no avail, then the second and finally the third picture is burned. ",1114,1199
11,And if no help comes then there is nothing more to be done. ,1199,1259
12,"When seamen lose their course among wind and waves and darkling clouds, they pray devoutly to the Queen of Heaven. ",1259,1374
13,Then a red lantern appears on the face of the waters. ,1374,1428
14,And if they follow the lantern they will win safe out of all danger. ,1428,1497
15,"The Queen of Heaven may often be seen standing in the skies, dividing the wind with her sword. ",1497,1592
16,"When she does this the wind departs for the North and South, and the waves grow smooth. ",1592,1680
17,A wooden wand is always kept before her holy picture in the cabin. ,1680,1747
18,It often happens that the fish-dragons play in the seas. ,1747,1804
19,"They are two giant fish who spout up water against one another till the sun in the sky is obscured, and the seas are shrouded in profound darkness. ",1804,1952
20,"And often, in the distance, one may see a bright opening in the darkness. ",1952,2026
21,"If the ship holds a course straight for this opening it will win through, and is suddenly floating in calm waters again. ",2026,2147
22,"Looking back, one may see the two fishes still spouting water, and the ship will have passed directly beneath their jaws. ",2147,2269
23,But a storm is always near when the fish dragons swim; ,2269,2324
24, therefore it is well to burn paper or wool so that the dragons do not draw the ship down into the depths. ,2323,2430
25,Or the Master of the Wand may burn incense before the wand in the cabin. ,2430,2503
26,"Then he must take the wand and swing it over the water three times, in a circle. ",2503,2584
27,If he does so the dragons will draw in their tails and disappear. ,2584,2650
28,"When the ashes in the censer fly up into the air without any cause, and are scattered about, it is a sign that great danger is threatening. ",2650,2790
29,Nearly two-hundred years ago an army was fitted out to subdue the island of Formosa. ,2790,2875
30,The captain's banner had been dedicated with the blood of a white horse. ,2875,2948
31,Suddenly the Queen of Heaven appeared at the tip of the banner-staff. ,2948,3018
32,"In another moment she had disappeared, but the invasion was successful. ",3018,3090
33,"On another occasion, in the days of Kien Lung, the minister Dschou Ling was ordered to install a new king in the Liu-Kiu Islands. ",3090,3220
34,"When the fleet was sailing by south of Korea, a storm arose, and his ship was driven toward the Black Whirlpool. ",3220,3333
35,"The water had the color of ink, sun and moon lost their radiance, and the word was passed about that the ship had been caught in the Black Whirlpool, from which no living man had ever returned. ",3333,3527
36,The seaman and travelers awaited their end with lamentations. ,3527,3589
37,"Suddenly an untold number of lights, like red lanterns, appeared on the surface of the water. ",3589,3683
38,Then the seamen were overjoyed and prayed in the cabins. ,3683,3740
39,"""Our lives are saved!"" ",3740,3763
40,"they cried, ""the Holy Mother has come to our aid!"" ",3763,3814
41,"And truly, a beautiful maiden with golden earrings appeared. ",3814,3875
42,She waved her hand in the air and the winds became still and the waves grew even. ,3875,3957
43,And it seemed as though the ship were being drawn along by a mighty hand. ,3957,4031
44,"It moved plashing through the waves, and suddenly it was beyond the limits of the Black Whirlpool. ",4031,4130
45,"Dschou Ling on his return told of this happening, and begged that temples be erected in honor of the Queen of Heaven, and that she be included in the list of the gods. ",4130,4298
46,And the emperor granted his prayer. ,4298,4334
47,"Since then temples of the Queen of Heaven are to be found in all sea-port towns, and her birthday is celebrated on the eighth day of the fourth month with spectacles and sacrifices.",4334,4516
