sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"Every day he returned from the chase with a large spoil, for he was one of the most skillful and lucky hunters of his tribe. ",returned,BEFORE,"There was no forest too gloomy for him to penetrate, and no track made by bird or beast of any kind which he could not readily follow. ",penetrate,1,4,0,1
"There was no forest too gloomy for him to penetrate, and no track made by bird or beast of any kind which he could not readily follow. ",penetrate,AFTER,"There was no forest too gloomy for him to penetrate, and no track made by bird or beast of any kind which he could not readily follow. ",made,4,4,1,2
"There was no forest too gloomy for him to penetrate, and no track made by bird or beast of any kind which he could not readily follow. ",made,BEFORE,"There was no forest too gloomy for him to penetrate, and no track made by bird or beast of any kind which he could not readily follow. ",follow,4,4,2,4
"There was no forest too gloomy for him to penetrate, and no track made by bird or beast of any kind which he could not readily follow. ",follow,AFTER,One day he had gone beyond any point which he had ever before visited. ,gone,4,5,4,1
One day he had gone beyond any point which he had ever before visited. ,gone,AFTER,One day he had gone beyond any point which he had ever before visited. ,visited,5,5,1,3
One day he had gone beyond any point which he had ever before visited. ,visited,BEFORE,"He traveled through an open wood, which enabled him to see a great distance. ",traveled,5,6,3,0
"He traveled through an open wood, which enabled him to see a great distance. ",traveled,BEFORE,"He traveled through an open wood, which enabled him to see a great distance. ",enabled,6,6,0,1
"He traveled through an open wood, which enabled him to see a great distance. ",enabled,BEFORE,"He traveled through an open wood, which enabled him to see a great distance. ",see,6,6,1,2
"He traveled through an open wood, which enabled him to see a great distance. ",see,BEFORE,"At length he beheld a light breaking through the foliage of the distant trees, which made him sure that he was on the borders of a prairie. ",beheld,6,7,2,0
"At length he beheld a light breaking through the foliage of the distant trees, which made him sure that he was on the borders of a prairie. ",beheld,BEFORE,"At length he beheld a light breaking through the foliage of the distant trees, which made him sure that he was on the borders of a prairie. ",made,7,7,0,2
"At length he beheld a light breaking through the foliage of the distant trees, which made him sure that he was on the borders of a prairie. ",made,BEFORE,"After walking for some time without a path, musing upon the open country, and enjoying the fragrant breeze, he suddenly came to a ring worn among the grass and the flowers. ",enjoying,7,9,2,2
"After walking for some time without a path, musing upon the open country, and enjoying the fragrant breeze, he suddenly came to a ring worn among the grass and the flowers. ",enjoying,BEFORE,"After walking for some time without a path, musing upon the open country, and enjoying the fragrant breeze, he suddenly came to a ring worn among the grass and the flowers. ",came,9,9,2,3
"After walking for some time without a path, musing upon the open country, and enjoying the fragrant breeze, he suddenly came to a ring worn among the grass and the flowers. ",came,BEFORE,But it was strange-so strange as to cause the White Hawk to pause and gaze long and fixedly upon the ground. ,cause,9,11,3,1
But it was strange-so strange as to cause the White Hawk to pause and gaze long and fixedly upon the ground. ,cause,BEFORE,But it was strange-so strange as to cause the White Hawk to pause and gaze long and fixedly upon the ground. ,gaze,11,11,1,3
But it was strange-so strange as to cause the White Hawk to pause and gaze long and fixedly upon the ground. ,gaze,BEFORE,"He thought he would hide himself and lie in wait to discover, if he could, what this strange circle meant. ",thought,11,14,3,0
"He thought he would hide himself and lie in wait to discover, if he could, what this strange circle meant. ",thought,BEFORE,"He thought he would hide himself and lie in wait to discover, if he could, what this strange circle meant. ",hide,14,14,0,2
"He thought he would hide himself and lie in wait to discover, if he could, what this strange circle meant. ",hide,BEFORE,"He thought he would hide himself and lie in wait to discover, if he could, what this strange circle meant. ",discover,14,14,2,4
"He thought he would hide himself and lie in wait to discover, if he could, what this strange circle meant. ",discover,AFTER,Presently he heard the faint sounds of music in the air. ,heard,14,15,4,0
Presently he heard the faint sounds of music in the air. ,heard,BEFORE,"He looked up in the direction they came from, and as the magic notes died away he saw a small object, like a little summer cloud that approaches the earth, floating down from above. ",looked,15,16,0,0
"He looked up in the direction they came from, and as the magic notes died away he saw a small object, like a little summer cloud that approaches the earth, floating down from above. ",looked,BEFORE,"He looked up in the direction they came from, and as the magic notes died away he saw a small object, like a little summer cloud that approaches the earth, floating down from above. ",saw,16,16,0,3
"He looked up in the direction they came from, and as the magic notes died away he saw a small object, like a little summer cloud that approaches the earth, floating down from above. ",saw,BEFORE,"But it rapidly grew as he gazed upon it, and the music every moment came clearer and more sweetly to his ear. ",gazed,16,18,3,1
"But it rapidly grew as he gazed upon it, and the music every moment came clearer and more sweetly to his ear. ",gazed,BEFORE,"The White Hawk, from his concealment, entranced, gazed upon their graceful forms and movements. ",gazed,18,22,1,1
"The White Hawk, from his concealment, entranced, gazed upon their graceful forms and movements. ",gazed,AFTER,"He admired them all, but he was most pleased with the youngest. ",admired,22,23,1,0
"He admired them all, but he was most pleased with the youngest. ",admired,BEFORE,"He longed to be at her side, to embrace her, to call her his own. ",longed,23,24,0,0
"He longed to be at her side, to embrace her, to call her his own. ",longed,BEFORE,"He longed to be at her side, to embrace her, to call her his own. ",embrace,24,24,0,2
"He longed to be at her side, to embrace her, to call her his own. ",embrace,BEFORE,"He longed to be at her side, to embrace her, to call her his own. ",call,24,24,2,3
"He longed to be at her side, to embrace her, to call her his own. ",call,AFTER,"Unable to remain longer a silent admirer, he rushed out and endeavored to seize this twelfth beauty who so enchanted him. ",remain,24,25,3,0
"Unable to remain longer a silent admirer, he rushed out and endeavored to seize this twelfth beauty who so enchanted him. ",remain,BEFORE,"Unable to remain longer a silent admirer, he rushed out and endeavored to seize this twelfth beauty who so enchanted him. ",endeavored,25,25,0,2
"Unable to remain longer a silent admirer, he rushed out and endeavored to seize this twelfth beauty who so enchanted him. ",endeavored,BEFORE,"Unable to remain longer a silent admirer, he rushed out and endeavored to seize this twelfth beauty who so enchanted him. ",seize,25,25,2,3
"Unable to remain longer a silent admirer, he rushed out and endeavored to seize this twelfth beauty who so enchanted him. ",seize,AFTER,"Unable to remain longer a silent admirer, he rushed out and endeavored to seize this twelfth beauty who so enchanted him. ",enchanted,25,25,3,4
"Unable to remain longer a silent admirer, he rushed out and endeavored to seize this twelfth beauty who so enchanted him. ",enchanted,BEFORE,"But the sisters, with the quickness of birds, the moment they descried the form of a man, leaped back into the basket, and were drawn up into the sky. ",descried,25,26,4,0
"But the sisters, with the quickness of birds, the moment they descried the form of a man, leaped back into the basket, and were drawn up into the sky. ",descried,BEFORE,"Lamenting his ill-luck, Waupee gazed longingly upon the fairy basket as it ascended and bore the lovely sisters from his view. ",Lamenting,26,27,0,0
"Lamenting his ill-luck, Waupee gazed longingly upon the fairy basket as it ascended and bore the lovely sisters from his view. ",Lamenting,BEFORE,"Lamenting his ill-luck, Waupee gazed longingly upon the fairy basket as it ascended and bore the lovely sisters from his view. ",gazed,27,27,0,1
"Lamenting his ill-luck, Waupee gazed longingly upon the fairy basket as it ascended and bore the lovely sisters from his view. ",gazed,BEFORE,"Lamenting his ill-luck, Waupee gazed longingly upon the fairy basket as it ascended and bore the lovely sisters from his view. ",bore,27,27,1,3
"Lamenting his ill-luck, Waupee gazed longingly upon the fairy basket as it ascended and bore the lovely sisters from his view. ",bore,BEFORE,"""They are gone,"" he said, ""and I shall see them no more."" ",said,27,28,3,2
"""They are gone,"" he said, ""and I shall see them no more."" ",said,BEFORE,"""They are gone,"" he said, ""and I shall see them no more."" ",see,28,28,2,4
"""They are gone,"" he said, ""and I shall see them no more."" ",see,AFTER,"He returned to his solitary lodge, but he found no relief to his mind. ",returned,28,29,4,0
"He returned to his solitary lodge, but he found no relief to his mind. ",returned,BEFORE,"He returned to his solitary lodge, but he found no relief to his mind. ",found,29,29,0,1
"He returned to his solitary lodge, but he found no relief to his mind. ",found,AFTER,"He walked abroad, but to look at the sky, which had withdrawn from his sight the only being he had ever loved, was painful to him now. ",walked,29,30,1,0
"He walked abroad, but to look at the sky, which had withdrawn from his sight the only being he had ever loved, was painful to him now. ",walked,BEFORE,"He walked abroad, but to look at the sky, which had withdrawn from his sight the only being he had ever loved, was painful to him now. ",look,30,30,0,1
"He walked abroad, but to look at the sky, which had withdrawn from his sight the only being he had ever loved, was painful to him now. ",look,AFTER,"He walked abroad, but to look at the sky, which had withdrawn from his sight the only being he had ever loved, was painful to him now. ",withdrawn,30,30,1,3
"He walked abroad, but to look at the sky, which had withdrawn from his sight the only being he had ever loved, was painful to him now. ",withdrawn,AFTER,"He walked abroad, but to look at the sky, which had withdrawn from his sight the only being he had ever loved, was painful to him now. ",loved,30,30,3,6
"He walked abroad, but to look at the sky, which had withdrawn from his sight the only being he had ever loved, was painful to him now. ",loved,BEFORE,"The next day, selecting the same hour, the White Hawk went back to the prairie, and took his station near the ring. ",took,30,31,6,2
"The next day, selecting the same hour, the White Hawk went back to the prairie, and took his station near the ring. ",took,BEFORE,"In order to deceive the sisters, he assumed the form of an opossum, and sat among the grass as if he were there engaged in chewing the cud. ",deceive,31,32,2,0
"In order to deceive the sisters, he assumed the form of an opossum, and sat among the grass as if he were there engaged in chewing the cud. ",deceive,AFTER,"In order to deceive the sisters, he assumed the form of an opossum, and sat among the grass as if he were there engaged in chewing the cud. ",assumed,32,32,0,1
"In order to deceive the sisters, he assumed the form of an opossum, and sat among the grass as if he were there engaged in chewing the cud. ",assumed,BEFORE,"In order to deceive the sisters, he assumed the form of an opossum, and sat among the grass as if he were there engaged in chewing the cud. ",sat,32,32,1,2
"In order to deceive the sisters, he assumed the form of an opossum, and sat among the grass as if he were there engaged in chewing the cud. ",sat,AFTER,"In order to deceive the sisters, he assumed the form of an opossum, and sat among the grass as if he were there engaged in chewing the cud. ",engaged,32,32,2,4
"In order to deceive the sisters, he assumed the form of an opossum, and sat among the grass as if he were there engaged in chewing the cud. ",engaged,AFTER,"In order to deceive the sisters, he assumed the form of an opossum, and sat among the grass as if he were there engaged in chewing the cud. ",chewing,32,32,4,5
