sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"He was never short of money, for he had a purse which was never empty. ",had,BEFORE,"He never was short of food, for he had a table-cloth on which, as soon as he spread it, he found all he wanted to eat and drink. ",had,1,2,1,1
"He never was short of food, for he had a table-cloth on which, as soon as he spread it, he found all he wanted to eat and drink. ",had,BEFORE,"He never was short of food, for he had a table-cloth on which, as soon as he spread it, he found all he wanted to eat and drink. ",spread,2,2,1,2
"He never was short of food, for he had a table-cloth on which, as soon as he spread it, he found all he wanted to eat and drink. ",spread,BEFORE,"He never was short of food, for he had a table-cloth on which, as soon as he spread it, he found all he wanted to eat and drink. ",found,2,2,2,3
"He never was short of food, for he had a table-cloth on which, as soon as he spread it, he found all he wanted to eat and drink. ",found,AFTER,"And, besides, he had a magic wishing cap. ",had,2,3,3,0
"And, besides, he had a magic wishing cap. ",had,BEFORE,"When he put it on he could wish himself wherever he wanted, and there he would be that very moment. ",put,3,4,0,0
"When he put it on he could wish himself wherever he wanted, and there he would be that very moment. ",put,BEFORE,"When he put it on he could wish himself wherever he wanted, and there he would be that very moment. ",wish,4,4,0,2
"When he put it on he could wish himself wherever he wanted, and there he would be that very moment. ",wish,BEFORE,"When he put it on he could wish himself wherever he wanted, and there he would be that very moment. ",wanted,4,4,2,3
"When he put it on he could wish himself wherever he wanted, and there he would be that very moment. ",wanted,AFTER,"There was only one thing that he lacked: he had no wife, and he was gradually coming into the years when it would be necessary for him to make haste. ",lacked,4,5,3,1
"There was only one thing that he lacked: he had no wife, and he was gradually coming into the years when it would be necessary for him to make haste. ",lacked,AFTER,"There was only one thing that he lacked: he had no wife, and he was gradually coming into the years when it would be necessary for him to make haste. ",had,5,5,1,2
"There was only one thing that he lacked: he had no wife, and he was gradually coming into the years when it would be necessary for him to make haste. ",had,BEFORE,"There was only one thing that he lacked: he had no wife, and he was gradually coming into the years when it would be necessary for him to make haste. ",coming,5,5,2,4
"There was only one thing that he lacked: he had no wife, and he was gradually coming into the years when it would be necessary for him to make haste. ",coming,BEFORE,"There was only one thing that he lacked: he had no wife, and he was gradually coming into the years when it would be necessary for him to make haste. ",make,5,5,4,7
"There was only one thing that he lacked: he had no wife, and he was gradually coming into the years when it would be necessary for him to make haste. ",make,AFTER,"As he was walking sadly along one fine day, it occurred to him to wish himself where he would find the most beautiful princess in the world. ",walking,5,6,7,1
"As he was walking sadly along one fine day, it occurred to him to wish himself where he would find the most beautiful princess in the world. ",walking,BEFORE,"As he was walking sadly along one fine day, it occurred to him to wish himself where he would find the most beautiful princess in the world. ",occurred,6,6,1,2
"As he was walking sadly along one fine day, it occurred to him to wish himself where he would find the most beautiful princess in the world. ",occurred,BEFORE,"As he was walking sadly along one fine day, it occurred to him to wish himself where he would find the most beautiful princess in the world. ",wish,6,6,2,3
