sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"Once upon a time there was a king who had three sons, who were all so clever and brave that he began to be afraid that they would want to reign over the kingdom before he was dead. ",began,BEFORE,"Now the King, though he felt that he was growing old, did not at all wish to give up the government of his kingdom while he could still manage it very well, so he thought the best way to live in peace would be to divert the minds of his sons by promises which he could always get out of when the time came for keeping them. ",wish,0,1,3,4
"Now the King, though he felt that he was growing old, did not at all wish to give up the government of his kingdom while he could still manage it very well, so he thought the best way to live in peace would be to divert the minds of his sons by promises which he could always get out of when the time came for keeping them. ",wish,BEFORE,"So he sent for them all, and, after speaking to them kindly, he added: ""You will quite agree with me, my dear children, that my great age makes it impossible for me to look after my affairs of state as carefully as I once did. ",makes,1,2,4,5
"So he sent for them all, and, after speaking to them kindly, he added: ""You will quite agree with me, my dear children, that my great age makes it impossible for me to look after my affairs of state as carefully as I once did. ",makes,BEFORE,"I begin to fear that this may affect the welfare of my subjects, therefore I wish that one of you should succeed to my crown; ",begin,2,3,5,0
"I begin to fear that this may affect the welfare of my subjects, therefore I wish that one of you should succeed to my crown; ",begin,BEFORE, but in return for such a gift as this it is only right that you should do something for me. ,do,3,4,0,2
 but in return for such a gift as this it is only right that you should do something for me. ,do,BEFORE,"Now, as I think of retiring into the country, it seems to me that a pretty, lively, faithful little dog would be very good company for me; ",seems,4,5,2,2
"Now, as I think of retiring into the country, it seems to me that a pretty, lively, faithful little dog would be very good company for me; ",seems,BEFORE," so, without any regard for your ages, I promise that the one who brings me the most beautiful little dog shall succeed me at once."" ",brings,5,6,2,1
" so, without any regard for your ages, I promise that the one who brings me the most beautiful little dog shall succeed me at once."" ",brings,BEFORE,"The three Princes were greatly surprised by their father's sudden fancy for a little dog, but as it gave the two younger ones a chance they would not otherwise have had of being king, and as the eldest was too polite to make any objection, they accepted the commission with pleasure. ",make,6,7,1,7
"The three Princes were greatly surprised by their father's sudden fancy for a little dog, but as it gave the two younger ones a chance they would not otherwise have had of being king, and as the eldest was too polite to make any objection, they accepted the commission with pleasure. ",make,BEFORE,"They bade farewell to the King, who gave them presents of silver and precious stones, and appointed to meet them at the same hour, in the same place, after a year had passed, to see the little dogs they had brought for him. ",meet,7,8,7,3
"They bade farewell to the King, who gave them presents of silver and precious stones, and appointed to meet them at the same hour, in the same place, after a year had passed, to see the little dogs they had brought for him. ",meet,AFTER,"Then they went together to a castle which was about a league from the city, accompanied by all their particular friends, to whom they gave a grand banquet, and the three brothers promised to be friends always, to share whatever good fortune befell them, and not to be parted by any envy or jealousy; ",gave,8,9,3,3
"Then they went together to a castle which was about a league from the city, accompanied by all their particular friends, to whom they gave a grand banquet, and the three brothers promised to be friends always, to share whatever good fortune befell them, and not to be parted by any envy or jealousy; ",gave,BEFORE," and so they set out, agreeing to meet at the same castle at the appointed time, to present themselves before the King together. ",meet,9,10,3,2
" and so they set out, agreeing to meet at the same castle at the appointed time, to present themselves before the King together. ",meet,AFTER,"Each one took a different road, and the two eldest met with many adventures; ",took,10,11,2,0
"Each one took a different road, and the two eldest met with many adventures; ",took,BEFORE, but it is about the youngest that you are going to hear. ,hear,11,12,0,3
 but it is about the youngest that you are going to hear. ,hear,AFTER,"He was young, and gay, and handsome, and knew everything that a prince ought to know; ",know,12,13,3,3
"He was young, and gay, and handsome, and knew everything that a prince ought to know; ",know,BEFORE,"As soon as he had bought a pretty one he was sure to see a still prettier, and then he had to get rid of all the others and buy that one, as, being alone, he found it impossible to take thirty or forty thousand dogs about with him. ",buy,13,16,3,7
"As soon as he had bought a pretty one he was sure to see a still prettier, and then he had to get rid of all the others and buy that one, as, being alone, he found it impossible to take thirty or forty thousand dogs about with him. ",buy,BEFORE,"He journeyed from day to day, not knowing where he was going, until at last, just at nightfall, he reached a great, gloomy forest. ",reached,16,17,7,4
"He journeyed from day to day, not knowing where he was going, until at last, just at nightfall, he reached a great, gloomy forest. ",reached,BEFORE,"He did not know his way, and, to make matters worse, it began to thunder, and the rain poured down. ",know,17,18,4,1
"He did not know his way, and, to make matters worse, it began to thunder, and the rain poured down. ",know,BEFORE,"He took the first path he could find, and after walking for a long time he fancied he saw a faint light, and began to hope that he was coming to some cottage where he might find shelter for the night. ",saw,18,19,1,5
"He took the first path he could find, and after walking for a long time he fancied he saw a faint light, and began to hope that he was coming to some cottage where he might find shelter for the night. ",saw,BEFORE,"At length, guided by the light, he reached the door of the most splendid castle he could have imagined. ",imagined,19,20,5,4
"At length, guided by the light, he reached the door of the most splendid castle he could have imagined. ",imagined,BEFORE,"This door was of gold covered with carbuncles, and it was the pure red light which shone from them that had shown him the way through the forest. ",shown,20,21,4,5
"This door was of gold covered with carbuncles, and it was the pure red light which shone from them that had shown him the way through the forest. ",shown,BEFORE,"The walls were of the finest porcelain in all the most delicate colors, and the Prince saw that all the stories he had ever read were pictured upon them; ",saw,21,22,5,1
"The walls were of the finest porcelain in all the most delicate colors, and the Prince saw that all the stories he had ever read were pictured upon them; ",saw,BEFORE," but as he was terribly wet, and the rain still fell in torrents, he could not stay to look about any more, but came back to the golden door. ",look,22,23,1,4
" but as he was terribly wet, and the rain still fell in torrents, he could not stay to look about any more, but came back to the golden door. ",look,BEFORE,"There he saw a deer's foot hanging by a chain of diamonds, and he began to wonder who could live in this magnificent castle. ",saw,23,24,4,0
"There he saw a deer's foot hanging by a chain of diamonds, and he began to wonder who could live in this magnificent castle. ",saw,BEFORE,"""They must feel very secure against robbers,"" he said to himself. ",said,24,25,0,2
"""They must feel very secure against robbers,"" he said to himself. ",said,AFTER,"He pulled the deer's foot, and immediately a silver bell sounded and the door flew open, but the Prince could see nothing but numbers of hands in the air, each holding a torch. ",pulled,25,27,2,0
"He pulled the deer's foot, and immediately a silver bell sounded and the door flew open, but the Prince could see nothing but numbers of hands in the air, each holding a torch. ",pulled,BEFORE,"He was so much surprised that he stood quite still, until he felt himself pushed forward by other hands, so that, though he was somewhat uneasy, he could not help going on. ",help,27,28,0,6
"He was so much surprised that he stood quite still, until he felt himself pushed forward by other hands, so that, though he was somewhat uneasy, he could not help going on. ",help,BEFORE,"With his hand on his sword, to be prepared for whatever might happen, he entered a hall paved with lapis-lazuli, while two lovely voices sang: ""The hands you see floating above Will swiftly your bidding obey; ",entered,28,29,6,4
"With his hand on his sword, to be prepared for whatever might happen, he entered a hall paved with lapis-lazuli, while two lovely voices sang: ""The hands you see floating above Will swiftly your bidding obey; ",entered,AFTER," If your heart dreads not conquering Love, In this place you may fearlessly stay."" ",conquering,29,30,4,1
" If your heart dreads not conquering Love, In this place you may fearlessly stay."" ",conquering,BEFORE,"The Prince could not believe that any danger threatened him when he was welcomed in this way, so, guided by the mysterious hands, he went toward a door of coral, which opened of its own accord, and he found himself in a vast hall of mother-of-pearl, out of which opened a number of other rooms, glittering with thousands of lights, and full of such beautiful pictures and precious things that the Prince felt quite bewildered. ",opened,30,31,1,9
"The Prince could not believe that any danger threatened him when he was welcomed in this way, so, guided by the mysterious hands, he went toward a door of coral, which opened of its own accord, and he found himself in a vast hall of mother-of-pearl, out of which opened a number of other rooms, glittering with thousands of lights, and full of such beautiful pictures and precious things that the Prince felt quite bewildered. ",opened,BEFORE,"After passing through sixty rooms the hands that conducted him stopped, and the Prince saw a most comfortable-looking arm-chair drawn up close to the chimney-corner; ",saw,31,32,9,3
"After passing through sixty rooms the hands that conducted him stopped, and the Prince saw a most comfortable-looking arm-chair drawn up close to the chimney-corner; ",saw,BEFORE," at the same moment the fire lighted itself, and the pretty, soft, clever hands took off the Prince's wet, muddy clothes, and presented him with fresh ones made of the richest stuffs, all embroidered with gold and emeralds. ",presented,32,33,3,2
