sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"There once lived an Indian in the north who had ten daughters, all of whom grew up to womanhood. ",had,BEFORE,"Though the flower were homely, if it was fragrant--though the wind were rough, if it was healthful--and though the cloud were dark, if it embosomed the fruitful rain, she knew how, in spite of appearances, to acknowledge the good qualities concealed from the eye. ",knew,0,3,1,6
"Though the flower were homely, if it was fragrant--though the wind were rough, if it was healthful--and though the cloud were dark, if it embosomed the fruitful rain, she knew how, in spite of appearances, to acknowledge the good qualities concealed from the eye. ",knew,AFTER,She paid very little attention to the many handsome young men who came to her father's lodge for the purpose of seeing her. ,came,3,4,6,1
She paid very little attention to the many handsome young men who came to her father's lodge for the purpose of seeing her. ,came,BEFORE,"Her elder sisters were all sought in marriage, and one after the other they went off to dwell in the lodges of their husbands; ",dwell,4,5,1,3
"Her elder sisters were all sought in marriage, and one after the other they went off to dwell in the lodges of their husbands; ",dwell,BEFORE,"At last she married an old man called Osseo, who was scarcely able to walk, and who was too poor to have things like others. ",married,5,7,3,0
"At last she married an old man called Osseo, who was scarcely able to walk, and who was too poor to have things like others. ",married,AFTER,The only property he owned in the world was the walking-staff which he carried in his hand. ,owned,7,8,0,0
The only property he owned in the world was the walking-staff which he carried in his hand. ,owned,BEFORE,"Of course they jeered and laughed at Oweenee on all sides, but she seemed to be quite happy, and said to them, ""It is my choice and you will see in the end who has acted the wisest."" ",said,8,11,0,4
"Of course they jeered and laughed at Oweenee on all sides, but she seemed to be quite happy, and said to them, ""It is my choice and you will see in the end who has acted the wisest."" ",said,AFTER,"They made a special mock of the walking-staff, and scarcely an hour in the day passed that they had not some disparaging reference to it. ",made,11,12,4,0
"They made a special mock of the walking-staff, and scarcely an hour in the day passed that they had not some disparaging reference to it. ",made,BEFORE,"Among themselves they spoke of Osseo of the walking-staff, in derision, as the owner of the big woods, or the great timber-man. ",spoke,12,13,0,0
"Among themselves they spoke of Osseo of the walking-staff, in derision, as the owner of the big woods, or the great timber-man. ",spoke,AFTER," but as it supports the steps of my husband, it is more precious to me than all the forests of the north."" ",supports,13,15,0,0
" but as it supports the steps of my husband, it is more precious to me than all the forests of the north."" ",supports,AFTER,"A time came when the sisters, and their husbands, and their parents were all invited to a feast. ",invited,15,16,0,2
"A time came when the sisters, and their husbands, and their parents were all invited to a feast. ",invited,BEFORE,"As the distance was considerable, they doubted whether Osseo, so aged and feeble, would be able to undertake the journey; ",doubted,16,17,2,1
"As the distance was considerable, they doubted whether Osseo, so aged and feeble, would be able to undertake the journey; ",doubted,BEFORE," but in spite of their friendly doubts, he joined them, and set out with a good heart. ",joined,17,18,1,0
" but in spite of their friendly doubts, he joined them, and set out with a good heart. ",joined,BEFORE,As they walked along the path they could not help pitying their young and handsome sister who had such an unsuitable mate. ,pitying,18,19,0,3
As they walked along the path they could not help pitying their young and handsome sister who had such an unsuitable mate. ,pitying,BEFORE,"She, however, smiled upon Osseo, and kept with him by the way the same as if he had been the comeliest bridegroom in all the company. ",smiled,19,20,3,0
"She, however, smiled upon Osseo, and kept with him by the way the same as if he had been the comeliest bridegroom in all the company. ",smiled,BEFORE,Osseo often stopped and gazed upward; ,gazed,20,21,0,1
Osseo often stopped and gazed upward; ,gazed,BEFORE," but they could perceive nothing in the direction in which he looked, unless it was the faint glimmering of the evening star. ",looked,21,22,1,2
" but they could perceive nothing in the direction in which he looked, unless it was the faint glimmering of the evening star. ",looked,BEFORE,"They heard him muttering to himself as they went along, and one of the elder sisters caught the words, ""Pity me, my father!"" ",Pity,22,23,2,4
"They heard him muttering to himself as they went along, and one of the elder sisters caught the words, ""Pity me, my father!"" ",Pity,BEFORE,"""Poor old man,"" said she; ",said,23,24,4,0
"""Poor old man,"" said she; ",said,AFTER,"What a pity it is that he would not fall and break his neck, that our sister might have a young husband."" ",fall,24,26,0,2
"What a pity it is that he would not fall and break his neck, that our sister might have a young husband."" ",fall,BEFORE,"Presently as they came to a great rock where Osseo had been used to breathe his morning and his evening prayer, the star emitted a brighter ray, which shone directly in his face. ",emitted,26,27,2,5
"Presently as they came to a great rock where Osseo had been used to breathe his morning and his evening prayer, the star emitted a brighter ray, which shone directly in his face. ",emitted,BEFORE,"Osseo, with a sharp cry, fell trembling to the earth, where the others would have left him, but his good wife raised him up, and he sprang forward on the path, and with steps light as the reindeer he led the party, no longer decrepid and infirm, but a beautiful young man. ",fell,27,28,5,0
"Osseo, with a sharp cry, fell trembling to the earth, where the others would have left him, but his good wife raised him up, and he sprang forward on the path, and with steps light as the reindeer he led the party, no longer decrepid and infirm, but a beautiful young man. ",fell,BEFORE,"On turning around to look for his wife, behold she had become changed, at the same moment, into an aged and feeble woman, bent almost double, and walking with the staff which he had cast aside. ",walking,28,29,0,6
"On turning around to look for his wife, behold she had become changed, at the same moment, into an aged and feeble woman, bent almost double, and walking with the staff which he had cast aside. ",walking,BEFORE,"Osseo immediately joined her, and with looks of fondness and the tenderest regard, bestowed on her every endearing attention, and constantly addressed her by the term of ne-ne-moosh-a, or my sweetheart. ",joined,29,30,6,0
"Osseo immediately joined her, and with looks of fondness and the tenderest regard, bestowed on her every endearing attention, and constantly addressed her by the term of ne-ne-moosh-a, or my sweetheart. ",joined,BEFORE,"On arriving at the lodge of the hunter with whom they were to feast, they found the banquet ready, and as soon as their entertainer had finished his harangue--in which he told them his feasting was in honor of the Evening or Woman's Star--they began to partake of the portion dealt out, according to age and character, to each one of the guests. ",partake,30,32,0,9
"On arriving at the lodge of the hunter with whom they were to feast, they found the banquet ready, and as soon as their entertainer had finished his harangue--in which he told them his feasting was in honor of the Evening or Woman's Star--they began to partake of the portion dealt out, according to age and character, to each one of the guests. ",partake,BEFORE,"The food was very delicious, and they were all happy but Osseo, who looked at his wife, and then gazed upward, as if he was looking into the substance of the sky. ",looked,32,33,9,2
"The food was very delicious, and they were all happy but Osseo, who looked at his wife, and then gazed upward, as if he was looking into the substance of the sky. ",looked,BEFORE,"Sounds were soon heard, as if from far-off voices in the air, and they became plainer and plainer, till he could clearly distinguish some of the words. ",heard,33,34,2,1
"Sounds were soon heard, as if from far-off voices in the air, and they became plainer and plainer, till he could clearly distinguish some of the words. ",heard,BEFORE,"""My son, my son,"" said the voice; ",said,34,35,1,0
"""My son, my son,"" said the voice; ",said,BEFORE," ""I have seen your afflictions, and pity your wants. ",pity,35,36,0,2
" ""I have seen your afflictions, and pity your wants. ",pity,BEFORE,I come to call you away from a scene that is stained with blood and tears. ,come,36,37,2,0
I come to call you away from a scene that is stained with blood and tears. ,come,AFTER,"Wicked spirits, the enemies of mankind, walk abroad, and lie in wait to ensnare the children of the sky. ",walk,37,39,0,0
