coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
0,a strong young farmer who came home late one evening from market,a strong young farmer who came home late one evening from market,0,27,91,0
0,a strong young farmer who came home late one evening from market,his,11,60,63,0
0,a strong young farmer who came home late one evening from market,his,11,44,47,0
0,a strong young farmer who came home late one evening from market,he,11,4,6,0
0,a strong young farmer who came home late one evening from market,his,10,29,32,0
0,a strong young farmer who came home late one evening from market,he,10,5,7,0
0,a strong young farmer who came home late one evening from market,his,9,94,97,0
0,a strong young farmer who came home late one evening from market,He,9,0,2,0
0,a strong young farmer who came home late one evening from market,He,3,0,2,0
0,a strong young farmer who came home late one evening from market,he,2,9,11,0
0,a strong young farmer who came home late one evening from market,him,1,12,15,0
0,a strong young farmer who came home late one evening from market,His,1,0,3,0
0,a strong young farmer who came home late one evening from market,he,4,5,7,0
4,a wealthy gentleman,a wealthy gentleman,1,36,55,0
8,not a human being in sight,not a human being in sight,3,74,100,0
9,the farmer,the farmer,8,5,15,0
9,the farmer,him,14,39,42,0
9,the farmer,the farmer,13,23,33,0
10,the fox,he,14,16,18,0
10,the fox,his,14,64,67,0
10,the fox,his,13,46,49,0
10,the fox,He,13,0,2,0
10,the fox,he,12,35,37,0
10,the fox,the fox,12,5,12,0
12,the farmer - boy,he,19,19,21,0
12,the farmer - boy,his,18,92,95,0
12,the farmer - boy,he,18,35,37,0
12,the farmer - boy,his,18,16,19,0
12,the farmer - boy,he,18,5,7,0
12,the farmer - boy,He,17,0,2,0
12,the farmer - boy,he,21,9,11,0
12,the farmer - boy,him,22,42,45,0
12,the farmer - boy,his,19,37,40,0
12,the farmer - boy,he,22,70,72,0
12,the farmer - boy,he,16,51,53,0
12,the farmer - boy,his,22,119,122,0
12,the farmer - boy,himself,15,44,51,0
12,the farmer - boy,the farmer-boy,15,18,32,0
12,the farmer - boy,he,16,119,121,0
12,the farmer - boy,he,20,12,14,0
13,the spirit - world,the spirit-world,15,123,139,0
14,people,people,16,27,33,0
14,people,their,16,70,75,0
14,people,them,16,138,142,0
15,some one,some one,22,20,28,0
15,some one,some one,16,90,98,0
15,some one,my,24,46,48,0
15,some one,my,23,80,82,0
15,some one,me,23,97,99,0
15,some one,I,24,25,26,0
18,the man,you,23,71,74,0
18,the man,you,23,128,131,0
18,the man,you,24,4,7,0
18,the man,the man,25,5,12,0
19,a poor farmer - lad,a poor farmer-lad,23,110,127,0
20,a wealthy man,a wealthy man,23,149,162,0
