coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
13,the Tang dynasty,the Tang dynasty,0,17,33,0
14,"a man named Liu I , who had failed to pass his examinations for the doctorate",you,7,45,48,0
14,"a man named Liu I , who had failed to pass his examinations for the doctorate","a man named Liu I, who had failed to pass his examinations for the doctorate",0,59,135,0
14,"a man named Liu I , who had failed to pass his examinations for the doctorate",his,0,101,104,1
14,"a man named Liu I , who had failed to pass his examinations for the doctorate",he,1,3,5,0
14,"a man named Liu I , who had failed to pass his examinations for the doctorate",He,2,0,2,0
14,"a man named Liu I , who had failed to pass his examinations for the doctorate",his,2,67,70,0
14,"a man named Liu I , who had failed to pass his examinations for the doctorate",he,2,108,110,0
14,"a man named Liu I , who had failed to pass his examinations for the doctorate",him,2,122,125,0
14,"a man named Liu I , who had failed to pass his examinations for the doctorate",he,3,6,8,0
14,"a man named Liu I , who had failed to pass his examinations for the doctorate",He,4,0,2,0
14,"a man named Liu I , who had failed to pass his examinations for the doctorate",you,7,6,9,0
14,"a man named Liu I , who had failed to pass his examinations for the doctorate",he,5,12,14,0
10,Liu I/Liu,his,169,162,165,1
10,Liu I/Liu,He,176,0,2,0
10,Liu I/Liu,Liu,41,0,3,0
10,Liu I/Liu,you,178,53,56,0
10,Liu I/Liu,you,160,54,57,0
10,Liu I/Liu,his,39,12,15,0
10,Liu I/Liu,He,39,0,2,0
10,Liu I/Liu,Liu,38,21,24,0
10,Liu I/Liu,you,179,5,8,0
10,Liu I/Liu,Liu,160,29,32,0
10,Liu I/Liu,You,36,0,3,0
10,Liu I/Liu,you,180,30,33,0
10,Liu I/Liu,you,35,37,40,0
10,Liu I/Liu,his,159,104,107,0
10,Liu I/Liu,his,159,32,35,0
10,Liu I/Liu,you,180,51,54,0
10,Liu I/Liu,Liu,159,21,24,0
10,Liu I/Liu,Liu,34,0,3,0
10,Liu I/Liu,he,33,32,34,0
10,Liu I/Liu,he,33,9,11,0
10,Liu I/Liu,you,181,29,32,0
10,Liu I/Liu,you,182,27,30,0
10,Liu I/Liu,I,27,20,21,0
10,Liu I/Liu,he,27,5,7,0
10,Liu I/Liu,his,26,36,39,0
10,Liu I/Liu,He,26,0,2,0
10,Liu I/Liu,Liu,25,113,116,0
10,Liu I/Liu,him,25,13,16,0
10,Liu I/Liu,I,154,37,38,0
10,Liu I/Liu,Liu,66,0,3,0
10,Liu I/Liu,you,160,137,140,0
10,Liu I/Liu,you,161,4,7,0
10,Liu I/Liu,Liu,42,118,121,0
10,Liu I/Liu,you,161,34,37,0
10,Liu I/Liu,he,165,76,78,0
10,Liu I/Liu,you,67,21,24,0
10,Liu I/Liu,him,163,45,48,0
10,Liu I/Liu,you,68,17,20,0
10,Liu I/Liu,Liu,69,0,3,0
10,Liu I/Liu,him,165,112,115,0
10,Liu I/Liu,he,165,152,154,0
10,Liu I/Liu,he,166,5,7,0
10,Liu I/Liu,himself,166,19,26,0
10,Liu I/Liu,his,166,36,39,0
10,Liu I/Liu,he,167,20,22,0
10,Liu I/Liu,him,167,33,36,0
10,Liu I/Liu,him,168,45,48,0
10,Liu I/Liu,his,169,9,12,0
10,Liu I/Liu,I,154,10,11,0
10,Liu I/Liu,he,169,26,28,0
10,Liu I/Liu,his,169,89,92,0
10,Liu I/Liu,Liu,55,0,3,0
10,Liu I/Liu,he,169,136,138,0
10,Liu I/Liu,his,69,11,14,0
10,Liu I/Liu,He,170,0,2,0
