sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
Once a fisherman was passing there who slipped and fell into the hole. ,passing,BEFORE,He came to a country full of winding ways which led over hill and dale for several miles. ,came,1,2,1,0
He came to a country full of winding ways which led over hill and dale for several miles. ,came,BEFORE,Finally he reached a dragon-castle lying in a great plain. ,reached,2,3,0,0
Finally he reached a dragon-castle lying in a great plain. ,reached,BEFORE,There grew a green slime which reached to his knees. ,grew,3,4,0,0
There grew a green slime which reached to his knees. ,grew,AFTER,It was guarded by a dragon who spouted water which dispersed in a fine mist. ,guarded,4,6,0,1
It was guarded by a dragon who spouted water which dispersed in a fine mist. ,guarded,AFTER,"Within the gate lay a small hornless dragon who raised his head, showed his claws, and would not let him in. ",lay,6,7,1,0
"Within the gate lay a small hornless dragon who raised his head, showed his claws, and would not let him in. ",lay,BEFORE,"Within the gate lay a small hornless dragon who raised his head, showed his claws, and would not let him in. ",raised,7,7,0,1
"Within the gate lay a small hornless dragon who raised his head, showed his claws, and would not let him in. ",raised,BEFORE,"Within the gate lay a small hornless dragon who raised his head, showed his claws, and would not let him in. ",showed,7,7,1,2
"Within the gate lay a small hornless dragon who raised his head, showed his claws, and would not let him in. ",showed,BEFORE,"Within the gate lay a small hornless dragon who raised his head, showed his claws, and would not let him in. ",let,7,7,2,4
"Within the gate lay a small hornless dragon who raised his head, showed his claws, and would not let him in. ",let,AFTER,"The fisherman spent several days in the cave, satisfying his hunger with the green slime, which he found edible and which tasted like rice-mush. ",satisfying,7,8,4,1
"The fisherman spent several days in the cave, satisfying his hunger with the green slime, which he found edible and which tasted like rice-mush. ",satisfying,BEFORE,"The fisherman spent several days in the cave, satisfying his hunger with the green slime, which he found edible and which tasted like rice-mush. ",found,8,8,1,2
"The fisherman spent several days in the cave, satisfying his hunger with the green slime, which he found edible and which tasted like rice-mush. ",found,BEFORE,At last he found a way out again. ,found,8,9,2,0
At last he found a way out again. ,found,BEFORE,"He told the district mandarin what had happened to him, and the latter reported the matter to the emperor. ",told,9,10,0,0
"He told the district mandarin what had happened to him, and the latter reported the matter to the emperor. ",told,AFTER,"He told the district mandarin what had happened to him, and the latter reported the matter to the emperor. ",happened,10,10,0,2
"He told the district mandarin what had happened to him, and the latter reported the matter to the emperor. ",happened,BEFORE,"He told the district mandarin what had happened to him, and the latter reported the matter to the emperor. ",reported,10,10,2,3
"He told the district mandarin what had happened to him, and the latter reported the matter to the emperor. ",reported,BEFORE,The emperor sent for a wise man and questioned him concerning it. ,questioned,10,11,3,1
The emperor sent for a wise man and questioned him concerning it. ,questioned,BEFORE,"The wise man said: ""There are four paths in this cave. ",said,11,12,1,0
"The wise man said: ""There are four paths in this cave. ",said,AFTER,"In this cave dwells the seventh daughter of the Dragon-King of the Eastern Sea, who guards his pearls and his treasure. ",guards,12,14,0,1
"In this cave dwells the seventh daughter of the Dragon-King of the Eastern Sea, who guards his pearls and his treasure. ",guards,AFTER,"It happened once in the ancient days, that a fisherboy dived into the water and brought up a pearl from beneath the chin of a black dragon. ",happened,14,15,1,0
"It happened once in the ancient days, that a fisherboy dived into the water and brought up a pearl from beneath the chin of a black dragon. ",happened,BEFORE,"It happened once in the ancient days, that a fisherboy dived into the water and brought up a pearl from beneath the chin of a black dragon. ",dived,15,15,0,1
"It happened once in the ancient days, that a fisherboy dived into the water and brought up a pearl from beneath the chin of a black dragon. ",dived,BEFORE,"The dragon was asleep, which was the reason the fisherboy brought the pearl to the surface without being harmed. ",brought,15,16,1,2
"The dragon was asleep, which was the reason the fisherboy brought the pearl to the surface without being harmed. ",brought,BEFORE,"The dragon was asleep, which was the reason the fisherboy brought the pearl to the surface without being harmed. ",harmed,16,16,2,4
"The dragon was asleep, which was the reason the fisherboy brought the pearl to the surface without being harmed. ",harmed,AFTER,The treasure which the daughter of the Dragon-King has in charge is made up of thousands and millions of such jewels. ,has,16,17,4,0
The treasure which the daughter of the Dragon-King has in charge is made up of thousands and millions of such jewels. ,has,BEFORE,"If one were to send a messenger with a letter, it would be possible to obtain precious pearls."" ",send,17,21,0,1
"If one were to send a messenger with a letter, it would be possible to obtain precious pearls."" ",send,BEFORE,"The emperor was greatly pleased, and announced a large reward for the man who was competent to go to the dragon-castle as his messenger. ",announced,21,22,1,1
"The emperor was greatly pleased, and announced a large reward for the man who was competent to go to the dragon-castle as his messenger. ",announced,BEFORE,"But the wise man said: ""A great-great-great-great-grandfather of yours once slew more than a hundred of the dragons of the Eastern Sea, and was finally himself slain by the dragons. ",said,22,24,1,0
"But the wise man said: ""A great-great-great-great-grandfather of yours once slew more than a hundred of the dragons of the Eastern Sea, and was finally himself slain by the dragons. ",said,AFTER,"But the wise man said: ""A great-great-great-great-grandfather of yours once slew more than a hundred of the dragons of the Eastern Sea, and was finally himself slain by the dragons. ",slew,24,24,0,1
"But the wise man said: ""A great-great-great-great-grandfather of yours once slew more than a hundred of the dragons of the Eastern Sea, and was finally himself slain by the dragons. ",slew,BEFORE,"The dragons are the enemies of your family and you cannot go."" ",go,24,25,1,2
"The dragons are the enemies of your family and you cannot go."" ",go,BEFORE,"Then came a man from Canton, Lo-Dsi-Tschun, with his two brothers, who said that his ancestors had been related to the Dragon-King. ",came,25,26,2,0
"Then came a man from Canton, Lo-Dsi-Tschun, with his two brothers, who said that his ancestors had been related to the Dragon-King. ",came,BEFORE,"Then came a man from Canton, Lo-Dsi-Tschun, with his two brothers, who said that his ancestors had been related to the Dragon-King. ",said,26,26,0,1
