sentence_id,text,start,end
0,"Long, long ago, there once lived a king and a queen who had a daughter. ",0,72
1,"One day, when the daughter went walking in the garden, a tremendous storm suddenly came up and carried her away with it. ",72,193
2,"Now the storm had come from the bird with nine heads, who had robbed the princess, and brought her to his cave. ",193,305
3,"The king did not know whither his daughter had disappeared, so he had proclaimed throughout the land: ""Whoever brings back the princess may have her for his bride!"" ",305,470
4,Now a youth had seen the bird as he was carrying the princess to his cave. ,470,545
5,"This cave, though, was in the middle of a sheer wall of rock. ",545,607
6,"One could not climb up to it from below, nor could one climb down to it from above. ",607,691
7,"And as the youth was walking around the rock, another youth came along and asked him what he was doing there. ",691,801
8,"So the first youth told him that the bird with nine heads had carried off the king's daughter, and had brought her up to his cave. ",801,932
9,The other chap knew what he had to do. ,932,971
10,"He called together his friends, and they lowered the youth to the cave in a basket. ",971,1055
11,"And when he went into the cave, he saw the king's daughter sitting there, and washing the wound of the bird with nine heads; ",1055,1180
12," for the hound of heaven had bitten off his tenth head, and his wound was still bleeding. ",1179,1269
13,"The princess, however, motioned to the youth to hide, and he did so. ",1269,1338
14,"When the king's daughter had washed his wound and bandaged it, the bird with nine heads felt so comfortable, that one after another, all his nine heads fell asleep. ",1338,1503
15,"Then the youth stepped forth from his hiding-place, and cut off his nine heads with a sword. ",1503,1596
16,"But the king's daughter said: ""It would be best if you were hauled up first, and I came after."" ",1596,1692
17,"""No,"" said the youth. ",1692,1714
18,"""I will wait below here, until you are in safety."" ",1714,1765
19,At first the king's daughter was not willing; ,1765,1811
20," yet at last she allowed herself to be persuaded, and climbed into the basket. ",1810,1889
21,"But before she did so, she took a long pin from her hair, broke it into two halves and gave him one and kept the other. ",1889,2009
22,"She also divided her silken kerchief with him, and told him to take good care of both her gifts. ",2009,2106
23,"But when the other man had drawn up the king's daughter, he took her along with him, and left the youth in the cave, in spite of all his calling and pleading. ",2106,2265
24,The youth now took a walk about the cave. ,2265,2307
