sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"He had both lands and money, but, though he was so well off, one thing was wanting to complete his happiness; ",had,BEFORE,"He had both lands and money, but, though he was so well off, one thing was wanting to complete his happiness; ",wanting,1,1,0,3
"He had both lands and money, but, though he was so well off, one thing was wanting to complete his happiness; ",wanting,BEFORE,"He had both lands and money, but, though he was so well off, one thing was wanting to complete his happiness; ",complete,1,1,3,4
"He had both lands and money, but, though he was so well off, one thing was wanting to complete his happiness; ",complete,AFTER, he had no children. ,had,1,2,4,0
 he had no children. ,had,BEFORE,"Many and many a time, when he met other farmers at the nearest market town, they would teaze him, asking how it came about that he was childless. ",met,2,3,0,0
"Many and many a time, when he met other farmers at the nearest market town, they would teaze him, asking how it came about that he was childless. ",met,BEFORE,"Many and many a time, when he met other farmers at the nearest market town, they would teaze him, asking how it came about that he was childless. ",teaze,3,3,0,2
"Many and many a time, when he met other farmers at the nearest market town, they would teaze him, asking how it came about that he was childless. ",teaze,BEFORE,"Many and many a time, when he met other farmers at the nearest market town, they would teaze him, asking how it came about that he was childless. ",asking,3,3,2,3
"Many and many a time, when he met other farmers at the nearest market town, they would teaze him, asking how it came about that he was childless. ",asking,BEFORE,"At length he grew so angry that he exclaimed: 'I must and will have a child of some sort or kind, even should it only be a hedgehog!' ",grew,3,4,3,0
"At length he grew so angry that he exclaimed: 'I must and will have a child of some sort or kind, even should it only be a hedgehog!' ",grew,BEFORE,"At length he grew so angry that he exclaimed: 'I must and will have a child of some sort or kind, even should it only be a hedgehog!' ",exclaimed,4,4,0,1
"At length he grew so angry that he exclaimed: 'I must and will have a child of some sort or kind, even should it only be a hedgehog!' ",exclaimed,BEFORE,"At length he grew so angry that he exclaimed: 'I must and will have a child of some sort or kind, even should it only be a hedgehog!' ",have,4,4,1,4
"At length he grew so angry that he exclaimed: 'I must and will have a child of some sort or kind, even should it only be a hedgehog!' ",have,BEFORE,"Not long after this his wife gave birth to a child, but though the lower half of the little creature was a fine boy, from the waist upwards it was a hedgehog, so that when his mother first saw him she was quite frightened, and said to her husband, 'There now, you have cursed the child yourself.' ",saw,4,5,4,3
