sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"Long, long ago, there once lived a king and a queen who had a daughter. ",had,BEFORE,"One day, when the daughter went walking in the garden, a tremendous storm suddenly came up and carried her away with it. ",went,0,1,1,0
"One day, when the daughter went walking in the garden, a tremendous storm suddenly came up and carried her away with it. ",went,BEFORE,"One day, when the daughter went walking in the garden, a tremendous storm suddenly came up and carried her away with it. ",walking,1,1,0,1
"One day, when the daughter went walking in the garden, a tremendous storm suddenly came up and carried her away with it. ",walking,BEFORE,"One day, when the daughter went walking in the garden, a tremendous storm suddenly came up and carried her away with it. ",carried,1,1,1,3
"One day, when the daughter went walking in the garden, a tremendous storm suddenly came up and carried her away with it. ",carried,AFTER,"Now the storm had come from the bird with nine heads, who had robbed the princess, and brought her to his cave. ",robbed,1,2,3,3
"Now the storm had come from the bird with nine heads, who had robbed the princess, and brought her to his cave. ",robbed,BEFORE,"Now the storm had come from the bird with nine heads, who had robbed the princess, and brought her to his cave. ",brought,2,2,3,4
"Now the storm had come from the bird with nine heads, who had robbed the princess, and brought her to his cave. ",brought,BEFORE,"The king did not know whither his daughter had disappeared, so he had proclaimed throughout the land: ""Whoever brings back the princess may have her for his bride!"" ",have,2,3,4,8
"The king did not know whither his daughter had disappeared, so he had proclaimed throughout the land: ""Whoever brings back the princess may have her for his bride!"" ",have,AFTER,"The king did not know whither his daughter had disappeared, so he had proclaimed throughout the land: ""Whoever brings back the princess may have her for his bride!"" ",know,3,3,8,1
"The king did not know whither his daughter had disappeared, so he had proclaimed throughout the land: ""Whoever brings back the princess may have her for his bride!"" ",know,AFTER,"The king did not know whither his daughter had disappeared, so he had proclaimed throughout the land: ""Whoever brings back the princess may have her for his bride!"" ",disappeared,3,3,1,3
"The king did not know whither his daughter had disappeared, so he had proclaimed throughout the land: ""Whoever brings back the princess may have her for his bride!"" ",disappeared,BEFORE,"The king did not know whither his daughter had disappeared, so he had proclaimed throughout the land: ""Whoever brings back the princess may have her for his bride!"" ",proclaimed,3,3,3,5
"The king did not know whither his daughter had disappeared, so he had proclaimed throughout the land: ""Whoever brings back the princess may have her for his bride!"" ",proclaimed,BEFORE,Now a youth had seen the bird as he was carrying the princess to his cave. ,seen,3,4,5,1
