sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"His neighbor, named Sir We, held an official position in Yangdschou. ",named,,"Sir We had decided that it was time for his daughter to marry, so he sent for a match-maker and commissioned her to find a suitable husband. ",decided,2,3,0,1
"Sir We had decided that it was time for his daughter to marry, so he sent for a match-maker and commissioned her to find a suitable husband. ",decided,,"Sir We had decided that it was time for his daughter to marry, so he sent for a match-maker and commissioned her to find a suitable husband. ",marry,3,3,1,3
"Sir We had decided that it was time for his daughter to marry, so he sent for a match-maker and commissioned her to find a suitable husband. ",marry,,"Sir We had decided that it was time for his daughter to marry, so he sent for a match-maker and commissioned her to find a suitable husband. ",sent,3,3,3,4
"Sir We had decided that it was time for his daughter to marry, so he sent for a match-maker and commissioned her to find a suitable husband. ",sent,,"Sir We had decided that it was time for his daughter to marry, so he sent for a match-maker and commissioned her to find a suitable husband. ",commissioned,3,3,4,5
"Sir We had decided that it was time for his daughter to marry, so he sent for a match-maker and commissioned her to find a suitable husband. ",commissioned,,"Sir We had decided that it was time for his daughter to marry, so he sent for a match-maker and commissioned her to find a suitable husband. ",find,3,3,5,6
"Sir We had decided that it was time for his daughter to marry, so he sent for a match-maker and commissioned her to find a suitable husband. ",find,,"Old Dschang heard this, and was pleased. ",heard,3,4,6,0
"Old Dschang heard this, and was pleased. ",heard,,"He prepared food and drink, entertained the match-maker, and told her to recommend him as a husband. ",prepared,4,5,0,0
"He prepared food and drink, entertained the match-maker, and told her to recommend him as a husband. ",prepared,,"He prepared food and drink, entertained the match-maker, and told her to recommend him as a husband. ",entertained,5,5,0,1
"He prepared food and drink, entertained the match-maker, and told her to recommend him as a husband. ",entertained,,"He prepared food and drink, entertained the match-maker, and told her to recommend him as a husband. ",told,5,5,1,2
"He prepared food and drink, entertained the match-maker, and told her to recommend him as a husband. ",told,,"He prepared food and drink, entertained the match-maker, and told her to recommend him as a husband. ",recommend,5,5,2,3
"He prepared food and drink, entertained the match-maker, and told her to recommend him as a husband. ",recommend,,But the old match-maker went off scolding. ,went,5,6,3,0
But the old match-maker went off scolding. ,went,,The next day he invited her to dinner again and gave her money. ,invited,6,7,0,0
The next day he invited her to dinner again and gave her money. ,invited,,The next day he invited her to dinner again and gave her money. ,gave,7,7,0,1
The next day he invited her to dinner again and gave her money. ,gave,,"Then the old match-maker said: ""You do not know what you wish! ",said,7,8,1,0
"Then the old match-maker said: ""You do not know what you wish! ",said,,"Then the old match-maker said: ""You do not know what you wish! ",know,8,8,0,2
"Then the old match-maker said: ""You do not know what you wish! ",know,,"Then the old match-maker said: ""You do not know what you wish! ",wish,8,8,2,3
"Then the old match-maker said: ""You do not know what you wish! ",wish,,Why should a gentleman's beautiful daughter condescend to marry a poor old gardener like yourself? ,condescend,8,9,3,1
Why should a gentleman's beautiful daughter condescend to marry a poor old gardener like yourself? ,condescend,,Why should a gentleman's beautiful daughter condescend to marry a poor old gardener like yourself? ,marry,9,9,1,2
Why should a gentleman's beautiful daughter condescend to marry a poor old gardener like yourself? ,marry,,"Even though you had money to burn, your white hair would not match her black locks. ",had,9,10,2,0
"Even though you had money to burn, your white hair would not match her black locks. ",had,,"Even though you had money to burn, your white hair would not match her black locks. ",burn,10,10,0,1
"Even though you had money to burn, your white hair would not match her black locks. ",burn,,"But Old Dschang did not cease to entreat her: ""Make an attempt, just one attempt, to mention me! ",entreat,10,12,1,2
"But Old Dschang did not cease to entreat her: ""Make an attempt, just one attempt, to mention me! ",entreat,,"But Old Dschang did not cease to entreat her: ""Make an attempt, just one attempt, to mention me! ",Make,12,12,2,3
"But Old Dschang did not cease to entreat her: ""Make an attempt, just one attempt, to mention me! ",Make,,"But Old Dschang did not cease to entreat her: ""Make an attempt, just one attempt, to mention me! ",mention,12,12,3,4
"But Old Dschang did not cease to entreat her: ""Make an attempt, just one attempt, to mention me! ",mention,,"If they will not listen to you, then I must resign myself to my fate!"" ",listen,12,13,4,1
"If they will not listen to you, then I must resign myself to my fate!"" ",listen,,"If they will not listen to you, then I must resign myself to my fate!"" ",resign,13,13,1,3
"If they will not listen to you, then I must resign myself to my fate!"" ",resign,,"The old match-maker had taken his money, so she could not well refuse, and though she feared being scolded, she mentioned him to Sir We. ",taken,13,14,3,1
"The old match-maker had taken his money, so she could not well refuse, and though she feared being scolded, she mentioned him to Sir We. ",taken,,"The old match-maker had taken his money, so she could not well refuse, and though she feared being scolded, she mentioned him to Sir We. ",refuse,14,14,1,3
"The old match-maker had taken his money, so she could not well refuse, and though she feared being scolded, she mentioned him to Sir We. ",refuse,,"The old match-maker had taken his money, so she could not well refuse, and though she feared being scolded, she mentioned him to Sir We. ",feared,14,14,3,4
"The old match-maker had taken his money, so she could not well refuse, and though she feared being scolded, she mentioned him to Sir We. ",feared,,"The old match-maker had taken his money, so she could not well refuse, and though she feared being scolded, she mentioned him to Sir We. ",scolded,14,14,4,6
"The old match-maker had taken his money, so she could not well refuse, and though she feared being scolded, she mentioned him to Sir We. ",scolded,,"The old match-maker had taken his money, so she could not well refuse, and though she feared being scolded, she mentioned him to Sir We. ",mentioned,14,14,6,7
"The old match-maker had taken his money, so she could not well refuse, and though she feared being scolded, she mentioned him to Sir We. ",mentioned,,He grew angry and wanted to throw her out of the house. ,grew,14,15,7,0
He grew angry and wanted to throw her out of the house. ,grew,,He grew angry and wanted to throw her out of the house. ,throw,15,15,0,2
He grew angry and wanted to throw her out of the house. ,throw,,"""I knew you would not thank me,"" said she, ""but the old man urged it so that I could not refuse to mention his intention."" ",knew,15,16,2,0
