sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
No sooner were the ceremonies of the wedding over but the mother-in-law began to show herself in her true colors. ,began,,No sooner were the ceremonies of the wedding over but the mother-in-law began to show herself in her true colors. ,show,3,3,1,2
No sooner were the ceremonies of the wedding over but the mother-in-law began to show herself in her true colors. ,show,,"She could not bear the good qualities of this pretty girl, and the less because they made her own daughters appear the more odious. ",bear,3,4,2,1
"She could not bear the good qualities of this pretty girl, and the less because they made her own daughters appear the more odious. ",bear,,"She could not bear the good qualities of this pretty girl, and the less because they made her own daughters appear the more odious. ",made,4,4,1,2
"She could not bear the good qualities of this pretty girl, and the less because they made her own daughters appear the more odious. ",made,,"She employed her in the meanest work of the house: she scoured the dishes, tables, etc., and scrubbed madam's chamber, and those of misses, her daughters; ",employed,4,5,2,0
"She employed her in the meanest work of the house: she scoured the dishes, tables, etc., and scrubbed madam's chamber, and those of misses, her daughters; ",employed,,"She employed her in the meanest work of the house: she scoured the dishes, tables, etc., and scrubbed madam's chamber, and those of misses, her daughters; ",scoured,5,5,0,1
"She employed her in the meanest work of the house: she scoured the dishes, tables, etc., and scrubbed madam's chamber, and those of misses, her daughters; ",scoured,,"She employed her in the meanest work of the house: she scoured the dishes, tables, etc., and scrubbed madam's chamber, and those of misses, her daughters; ",scrubbed,5,5,1,2
"She employed her in the meanest work of the house: she scoured the dishes, tables, etc., and scrubbed madam's chamber, and those of misses, her daughters; ",scrubbed,," she lay up in a sorry garret, upon a wretched straw bed, while her sisters lay in fine rooms, with floors all inlaid, upon beds of the very newest fashion, and where they had looking-glasses so large that they might see themselves at their full length from head to foot. ",lay,5,6,2,0
" she lay up in a sorry garret, upon a wretched straw bed, while her sisters lay in fine rooms, with floors all inlaid, upon beds of the very newest fashion, and where they had looking-glasses so large that they might see themselves at their full length from head to foot. ",lay,," she lay up in a sorry garret, upon a wretched straw bed, while her sisters lay in fine rooms, with floors all inlaid, upon beds of the very newest fashion, and where they had looking-glasses so large that they might see themselves at their full length from head to foot. ",had,6,6,0,3
" she lay up in a sorry garret, upon a wretched straw bed, while her sisters lay in fine rooms, with floors all inlaid, upon beds of the very newest fashion, and where they had looking-glasses so large that they might see themselves at their full length from head to foot. ",had,," she lay up in a sorry garret, upon a wretched straw bed, while her sisters lay in fine rooms, with floors all inlaid, upon beds of the very newest fashion, and where they had looking-glasses so large that they might see themselves at their full length from head to foot. ",see,6,6,3,6
" she lay up in a sorry garret, upon a wretched straw bed, while her sisters lay in fine rooms, with floors all inlaid, upon beds of the very newest fashion, and where they had looking-glasses so large that they might see themselves at their full length from head to foot. ",see,,"The poor girl bore all patiently, and dared not tell her father, who would have rattled her off; ",tell,6,7,6,1
