sentence_id,text,start,end
0,"One summer, a long, long time ago, the folk of Melbustad went up to the hill pastures with their herd. ",0,103
1,But they had been there only a short time when the cattle began to grow so restless that it was impossible to keep them in order. ,103,233
2,"A number of different maidens tried to manage them, but without avail; ",233,304
3," until one came who was betrothed, and whose betrothal had but recently been celebrated. ",303,392
4,"Then the cattle suddenly quieted down, and were easy to handle. ",392,456
5,So the maiden remained alone in the hills with no other company than a dog. ,456,532
6,"And one afternoon as she sat in the hut, it seemed to her that her sweetheart came, sat down beside her, and began to talk about their getting married at once. ",532,692
7,"But she sat still and made no reply, for she noticed a strangeness about him. ",692,770
8,"By and by, more and more people came in. ",770,811
9,"They began to cover the table with silverware, and bring on dishes. ",811,879
10,"The bridesmaids brought the bridal crown, and the ornaments, and a handsome bridal gown. ",879,968
11,"They dressed her, and put the crown on her head, as was the custom in those days, and they put rings on her hands. ",968,1083
12,And it seemed to her as though she knew all the people who were there. ,1083,1154
13,"They were the women of the village, and the girls of her own age. ",1154,1220
14,But the dog was well aware that there was something uncanny about it all. ,1220,1294
15,"He made his way down to Melbustad in flying leaps, and howled and barked in the most lamentable manner, and gave the people no rest until they followed him. ",1294,1451
16,"The young fellow who was to marry the girl took his gun, and climbed the hills. ",1451,1531
17,"When he drew near, there stood a number of horses around the hut, saddled and bridled. ",1531,1618
18,"He crept up to the hut, looked through a loop-hole in the wall, and saw a whole company sitting together inside. ",1618,1731
19,"It was quite evident that they were trolls, the people from underground, and therefore he discharged his gun over the roof. ",1731,1855
20,"At that moment the doors flew open, and a number of balls of gray yarn, one larger than the other, came shooting out about his legs. ",1855,1988
21,"When he went in, there sat the maiden in her bridal finery, and nothing was missing but the ring on her little finger, then all would have been complete. ",1988,2142
22,"""In heaven's name, what has happened here?"" ",2142,2186
23,"he asked, as he looked around. ",2186,2217
24,"All the silverware was still on the table, but all the tasty dishes had turned to moss and toadstools, and frogs and toads and the like. ",2217,2354
25,"""What does it all mean?"" ",2354,2379
26,said he. ,2379,2388
27,"""You are sitting here in all your glory, just like a bride?"" ",2388,2449
28,"""How can you ask me?"" ",2449,2471
29,answered the maiden. ,2471,2492
30,"""You have been sitting here yourself, and talking about our wedding the whole afternoon!"" ",2492,2582
31,"""No, I have just come,"" said he. ",2582,2615
32,"""It must have been some one else who had taken my shape!"" ",2615,2673
33,Then she gradually came to her senses. ,2673,2712
34,"Not until long afterward was she altogether herself, and she told how she had firmly believed that her sweetheart himself, and all their friends and relatives had been there. ",2712,2887
35,"He took her straight back to the village with him, and so that they need fear no such deviltry in the future, they celebrated their wedding while she was still clad in the bridal outfit of the underground folk. ",2887,3098
36,The crown and all the ornaments were hung up in Melbustad and it is said that they hang there to this very day.,3098,3210
