sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"In the summer mornings they led out their flocks to pasture, and were happy and contented from sunrise to sunset. ",contented,AFTER," I would have eaten her then, but unluckily her husband was lying beside her, and one knows that foxes, great and small, run like the wind. ",lying,2,9,3,4
" I would have eaten her then, but unluckily her husband was lying beside her, and one knows that foxes, great and small, run like the wind. ",lying,BEFORE," I would have eaten her then, but unluckily her husband was lying beside her, and one knows that foxes, great and small, run like the wind. ",knows,9,9,4,5
" I would have eaten her then, but unluckily her husband was lying beside her, and one knows that foxes, great and small, run like the wind. ",knows,AFTER,"Now, while these thoughts were running through the mind of the wolf, the very fox he had been thinking of was galloping along the other road. ",galloping,9,13,5,6
"Now, while these thoughts were running through the mind of the wolf, the very fox he had been thinking of was galloping along the other road. ",galloping,BEFORE,"As sure as there is a sun in heaven I will have some of them this night, for I have grown so thin that my very bones rattle, and my poor babies are crying for food.' ",crying,13,16,6,7
"As sure as there is a sun in heaven I will have some of them this night, for I have grown so thin that my very bones rattle, and my poor babies are crying for food.' ",crying,BEFORE,"At the sight of the fox lying within his grasp his mouth began to water, but his joy was somewhat checked when he noticed how thin she was. ",began,16,19,7,1
"At the sight of the fox lying within his grasp his mouth began to water, but his joy was somewhat checked when he noticed how thin she was. ",began,BEFORE,"At the sight of the fox lying within his grasp his mouth began to water, but his joy was somewhat checked when he noticed how thin she was. ",checked,19,19,1,3
"At the sight of the fox lying within his grasp his mouth began to water, but his joy was somewhat checked when he noticed how thin she was. ",checked,BEFORE,"At the sight of the fox lying within his grasp his mouth began to water, but his joy was somewhat checked when he noticed how thin she was. ",noticed,19,19,3,4
"At the sight of the fox lying within his grasp his mouth began to water, but his joy was somewhat checked when he noticed how thin she was. ",noticed,BEFORE,"The fox's quick ears heard the sound of his paws, though they were soft as velvet, and turning her head she said politely: 'Is that you, neighbour? ",heard,19,20,4,0
"The fox's quick ears heard the sound of his paws, though they were soft as velvet, and turning her head she said politely: 'Is that you, neighbour? ",heard,BEFORE,"The fox's quick ears heard the sound of his paws, though they were soft as velvet, and turning her head she said politely: 'Is that you, neighbour? ",said,20,20,0,3
"The fox's quick ears heard the sound of his paws, though they were soft as velvet, and turning her head she said politely: 'Is that you, neighbour? ",said,BEFORE,I hope you are quite well?' ,hope,20,22,3,0
I hope you are quite well?' ,hope,BEFORE,"'Quite well as regards my health,' answered the wolf, whose eye glistened greedily, 'at least, as well as one can be when one is very hungry. ",answered,22,23,0,1
"'Quite well as regards my health,' answered the wolf, whose eye glistened greedily, 'at least, as well as one can be when one is very hungry. ",answered,AFTER,"'Quite well as regards my health,' answered the wolf, whose eye glistened greedily, 'at least, as well as one can be when one is very hungry. ",glistened,23,23,1,2
"'Quite well as regards my health,' answered the wolf, whose eye glistened greedily, 'at least, as well as one can be when one is very hungry. ",glistened,BEFORE,"'I have been ill-very ill,' replied the fox, 'and what you say is quite true. ",replied,23,26,2,2
"'I have been ill-very ill,' replied the fox, 'and what you say is quite true. ",replied,BEFORE,"'I have been ill-very ill,' replied the fox, 'and what you say is quite true. ",say,26,26,2,3
"'I have been ill-very ill,' replied the fox, 'and what you say is quite true. ",say,BEFORE,"'That we shall soon see,' cried the wolf, opening his huge mouth and crouching for a spring. ",cried,26,33,3,2
"'That we shall soon see,' cried the wolf, opening his huge mouth and crouching for a spring. ",cried,BEFORE,"'That we shall soon see,' cried the wolf, opening his huge mouth and crouching for a spring. ",opening,33,33,2,3
"'That we shall soon see,' cried the wolf, opening his huge mouth and crouching for a spring. ",opening,BEFORE,"exclaimed the fox, stepping backwards. ",exclaimed,33,35,3,0
"exclaimed the fox, stepping backwards. ",exclaimed,BEFORE,"'Well, I suppose you must have your joke,' answered the fox lightly, but never removing her eye from the wolf, who replied with a snarl which showed all his teeth: 'I don't want to joke, but to eat!' ",suppose,35,38,0,0
