sentence_id,text,start,end
0,On the fifth day of the fifth month the festival of the Dragon Junk is held along the Yangtze-kiang. ,0,101
1,"A dragon is hollowed out of wood, painted with an armor of scales, and adorned with gold and bright colors. ",101,209
2,"A carved red railing surrounds this ship, and its sails and flags are made of silks and brocade. ",209,306
3,The after part of the vessel is called the dragon's tail. ,306,364
4,"It rises ten feet above the water, and a board which floats in the water is tied to it by means of a cloth. ",364,472
5,"Upon this board sit boys who turn somersaults, stand on their heads, and perform all sorts of tricks. ",472,574
6,"Yet, being so close to the water their danger is very great. ",574,635
7,"It is the custom, therefore, when a boy is hired for this purpose, to give his parents money before he is trained. ",635,750
8,"Then, if he falls into the water and is drowned, no one has him on their conscience. ",750,835
9,"Farther South the custom differs in so much that instead of boys, beautiful girls are chosen for this purpose. ",835,946
10,"In Dschen-Giang there once lived a widow named Dsiang, who had a son called Aduan. ",946,1029
11,"When he was no more than seven years of age he was extraordinarily skilful, and no other boy could equal him. ",1029,1139
12,"And his reputation increasing as he grew, he earned more and more money. ",1139,1212
13,So it happened that he was still called upon at the Dragon Junk Festival when he was already sixteen. ,1212,1314
14,But one day he fell into the water below the Gold Island and was drowned. ,1314,1388
15,"He was the only son of his mother, and she sorrowed over him, and that was the end of it. ",1388,1478
16,Yet Aduan did not know that he had been drowned. ,1478,1527
17,"He met two men who took him along with them, and he saw a new world in the midst of the waters of the Yellow River. ",1527,1643
18,"When he looked around, the waves of the river towered steeply about him like walls, and a palace was visible, in which sat a man wearing armor and a helmet. ",1643,1800
19,"His two companions said to him: ""That is the Prince of the Dragon's Cave!"" ",1800,1875
20,and bade him kneel. ,1875,1895
21,"The Prince of the Dragon's Cave seemed to be of a mild and kindly disposition and said: ""We can make use of such a skilful lad. ",1895,2023
22,"He may take part in the dance of the willow branches!"" ",2023,2078
23,So he was brought to a spot surrounded by extensive buildings. ,2078,2141
24,"He entered, and was greeted by a crowd of boys who were all about fourteen years of age. ",2141,2230
25,"An old woman came in and they all called out: ""This is Mother Hia!"" ",2230,2298
26,And she sat down and had Aduan show his tricks. ,2298,2346
27,"Then she taught him the dance of the flying thunders of Tsian-Tang River, and the music that calms the winds on the sea of Dung-Ting. ",2346,2480
28,"When the cymbals and kettledrums reechoed through all the courts, they deafened the ear. ",2480,2569
29,"Then, again, all the courts would fall silent. ",2569,2616
30,Mother Hia thought that Aduan would not be able to grasp everything the very first time; ,2616,2705
31, so she taught him with great patience. ,2704,2744
